config_idx,model,optimizer,lr0,batch,imgsz,weight_decay,mAP50_mean,mAP50_std,mAP50_95_mean,mAP50_95_std,precision_mean,precision_std,recall_mean,recall_std,rank
53,yolov8s.pt,AdamW,0.001,8,512,0.001,0.9826579528729421,0.005208587708563968,0.7026266277296712,0.015888234786011327,0.9710407487873379,0.025530993005515118,0.9456511867161472,0.010608260812353621,1
37,yolov8s.pt,SGD,0.001,8,512,0.001,0.9817455352253607,0.00894753574116905,0.7094922897212754,0.022803610499933874,0.9796785976951646,0.011101957669367234,0.9414019738315546,0.009877973656575095,2
13,yolov8n.pt,SGD,0.005,8,512,0.001,0.9806288344199947,0.012611494729614255,0.7010233692509428,0.018832947568551864,0.9691001424728737,0.02366596243379696,0.9426590530586375,0.029934400227684337,3
45,yolov8s.pt,SGD,0.005,8,512,0.001,0.9805965509925548,0.006103759828495535,0.7003157295573167,0.02301518856792364,0.9680861655564691,0.013075468523739794,0.9442176026636783,0.024521334829601855,4
33,yolov8s.pt,SGD,0.001,8,512,0.0005,0.9797080269132973,0.009079904686477024,0.7051947058414348,0.02210566547144611,0.9693862476183298,0.0014183940134592924,0.9497756068268478,0.012557123757553211,5
34,yolov8s.pt,SGD,0.001,16,512,0.0005,0.9795357865041096,0.011934035509703043,0.7116999663977506,0.01878991756877605,0.9691779901685319,0.009017052504993319,0.94848820201515,0.02197431658293254,6
21,yolov8n.pt,AdamW,0.001,8,512,0.001,0.9793142282255825,0.01019826093779868,0.7010911332171689,0.019525388636500336,0.9753587147058154,0.014213784092815072,0.9416979978764655,0.013244265627637333,7
54,yolov8s.pt,AdamW,0.001,16,512,0.001,0.9791182915636013,0.009690336515052644,0.6964974412284891,0.01833170412374338,0.9652384451886928,0.010933383355663016,0.9482502433626087,0.01270201506265628,8
26,yolov8n.pt,AdamW,0.005,16,512,0.0005,0.979053695539486,0.008837206047426806,0.6948023181663731,0.018572483316813056,0.9699962630737952,0.017869961203075574,0.9380719699455021,0.026470056950702363,9
10,yolov8n.pt,SGD,0.005,16,512,0.0005,0.9788830251357382,0.008276209024149744,0.6934667548917832,0.01707368376330339,0.9751833654319824,0.011201245601999171,0.932309690671997,0.01444596287968005,10
11,yolov8n.pt,SGD,0.005,8,640,0.0005,0.9788229018829521,0.006900369515397314,0.6999536278701841,0.019308659629111095,0.9715907977070821,0.016570839016600187,0.9434908235285291,0.016695927057882504,11
38,yolov8s.pt,SGD,0.001,16,512,0.001,0.9786302620334126,0.014168190131961392,0.7068236352769971,0.019756704755955316,0.968080325787426,0.016822422124683083,0.940525105450713,0.02895670535983342,12
58,yolov8s.pt,AdamW,0.005,16,512,0.0005,0.9786235102954653,0.0090216103790794,0.6870575459226815,0.007959307996498488,0.9515200728820913,0.021888369079914354,0.9453789806251892,0.019052543648254875,13
50,yolov8s.pt,AdamW,0.001,16,512,0.0005,0.9785178324998375,0.01195527309689204,0.701600882615134,0.015117869551486487,0.9739570035977568,0.022794310926152563,0.9485922450873483,0.0070945437705510084,14
36,yolov8s.pt,SGD,0.001,16,640,0.0005,0.9783854574620404,0.009789491099016114,0.7105190233341873,0.016337532803059496,0.9755209956429868,0.012428248229576893,0.9386918912919789,0.011089650483832321,15
49,yolov8s.pt,AdamW,0.001,8,512,0.0005,0.9782742727569266,0.011782028967049215,0.6996718008524295,0.021353089172697345,0.9657173793703583,0.026190677619640487,0.952938732038461,0.007142332111616678,16
7,yolov8n.pt,SGD,0.001,8,640,0.001,0.9782462589823214,0.009645767046648034,0.7056416150714173,0.017992918825572645,0.9551374248500998,0.022722760582231123,0.9374067443851537,0.016638391450891264,17
62,yolov8s.pt,AdamW,0.005,16,512,0.001,0.9781068810854435,0.01127958534291807,0.6811547826620475,0.012874151733332036,0.9651749041383978,0.018635597131704085,0.9505616080315359,0.011690952711351777,18
42,yolov8s.pt,SGD,0.005,16,512,0.0005,0.9780964989785675,0.009405655457093699,0.7036762571489263,0.013865885934677483,0.9675138641199222,0.006807756122489783,0.9444350011170525,0.006667569369532032,19
9,yolov8n.pt,SGD,0.005,8,512,0.0005,0.9780429538010735,0.00819421268240196,0.6948289817014954,0.01769794941744882,0.9483670754828731,0.017026711050196614,0.9460520726162088,0.027877655323036588,20
35,yolov8s.pt,SGD,0.001,8,640,0.0005,0.9779550891745026,0.011741537489732404,0.7089708847073863,0.015022459510381047,0.9653241408669118,0.010822583102112874,0.9436327257075718,0.0050134592294222855,21
23,yolov8n.pt,AdamW,0.001,8,640,0.001,0.9776699035041504,0.006413276931685269,0.691765521997142,0.008199864533392717,0.9700176695610426,0.006052173934186229,0.9465574468956416,0.012720846012111934,22
12,yolov8n.pt,SGD,0.005,16,640,0.0005,0.9773088007429891,0.010507852347943424,0.6930909743734041,0.01367538880441455,0.9734002852074051,0.006070316649448201,0.9375395325922337,0.022213932707167604,23
48,yolov8s.pt,SGD,0.005,16,640,0.001,0.9771340862551495,0.010314430597622817,0.7075123171358996,0.019082628321680707,0.9679740902716832,0.02094404176595248,0.945405775352962,0.007173448376890316,24
15,yolov8n.pt,SGD,0.005,8,640,0.001,0.9771248975828479,0.01880195057444792,0.6927053691238653,0.019743606012527806,0.9629706535365689,0.020802724451069853,0.9441213891552103,0.02632657602607723,25
44,yolov8s.pt,SGD,0.005,16,640,0.0005,0.9768559644476987,0.014949017161886468,0.7013835623446397,0.0152524782969289,0.9747144030197293,0.02885362118993754,0.9424746369168696,0.023129321606280492,26
1,yolov8n.pt,SGD,0.001,8,512,0.0005,0.9768274290723657,0.01449709997278701,0.6989565726141022,0.011747972848958186,0.9522808079616181,0.01595434657244334,0.9394350741021819,0.006548087427278908,27
6,yolov8n.pt,SGD,0.001,16,512,0.001,0.9767733610170959,0.006346203902536514,0.7015943365749001,0.018078326423484694,0.9456617289408654,0.00827684532789154,0.9491531886457611,0.008293296747323278,28
24,yolov8n.pt,AdamW,0.001,16,640,0.001,0.9767278199187309,0.006124315872038239,0.7033044546813089,0.007893498381416916,0.9654157658390338,0.006795569876471603,0.9444854353354503,0.022213604796849345,29
47,yolov8s.pt,SGD,0.005,8,640,0.001,0.976725812876876,0.004972089686577309,0.6934025484228609,0.013328336048182645,0.9711121420462846,0.012666406636887695,0.9310879228401884,0.019981423349445696,30
28,yolov8n.pt,AdamW,0.005,16,640,0.0005,0.9764397064478706,0.01233152166277103,0.692254290033655,0.004133520348537731,0.9680659142124167,0.0064995774055071195,0.9382712458977829,0.03274460658971796,31
14,yolov8n.pt,SGD,0.005,16,512,0.001,0.9764157144851717,0.007845176829675652,0.6946901561555023,0.020665064053367436,0.9623375018440768,0.002453885854533325,0.9491192593195782,0.011515749806966897,32
18,yolov8n.pt,AdamW,0.001,16,512,0.0005,0.9757947922441382,0.005881636799685257,0.6989870586515,0.011120274913980745,0.9642807818878142,0.02635151453083672,0.9446717133463721,0.016549785866818167,33
27,yolov8n.pt,AdamW,0.005,8,640,0.0005,0.9757669379869158,0.006963837028116344,0.6785882528151078,0.011134605928583508,0.9621611991302883,0.019962936729468684,0.9456261544049314,0.003867884428651169,34
46,yolov8s.pt,SGD,0.005,16,512,0.001,0.9757614853556564,0.009177050484568737,0.6972494192048097,0.014996822615279135,0.9522107920887383,0.017505557259328734,0.9452603183387579,0.00930833546763573,35
17,yolov8n.pt,AdamW,0.001,8,512,0.0005,0.975738802145227,0.007536351826081571,0.7011911605051742,0.01793356404030971,0.9656950058382376,0.00972549161851217,0.9409949824473386,0.01431972576409865,36
61,yolov8s.pt,AdamW,0.005,8,512,0.001,0.9756719424807674,0.01160188275999251,0.6765548763270858,0.008585992384486991,0.9559262386969966,0.007766767439064131,0.9343999145202376,0.016550286479759656,37
55,yolov8s.pt,AdamW,0.001,8,640,0.001,0.9754579998489509,0.004309917260516776,0.689930573555955,0.009413562333298478,0.9480885592411594,0.02486101446967016,0.9376453674362205,0.002065476645812819,38
8,yolov8n.pt,SGD,0.001,16,640,0.001,0.9753549677526491,0.009141795039111097,0.6953028455522002,0.009236207753642223,0.9516654723950193,0.027172003515708597,0.9365460156097632,0.01807127373405521,39
41,yolov8s.pt,SGD,0.005,8,512,0.0005,0.9753203832258354,0.01980808976021511,0.6999078513836618,0.02595457250923275,0.9673897288857921,0.02955132556593786,0.9374031880420888,0.007951162243143411,40
20,yolov8n.pt,AdamW,0.001,16,640,0.0005,0.9753092658932322,0.0053130549865185546,0.6937501244074621,0.01647815492867595,0.979309770209384,0.0043297418829367626,0.9293530032946992,0.009339680114855906,41
40,yolov8s.pt,SGD,0.001,16,640,0.001,0.9751811951169124,0.010199969216579171,0.715115158470053,0.018713212718087104,0.9714361646899717,0.015763802739408774,0.939847182314872,0.012817054363882112,42
29,yolov8n.pt,AdamW,0.005,8,512,0.001,0.9751353318929414,0.0076599222105621706,0.6778155049293563,0.008149279883345647,0.9622568256624154,0.01338994088826052,0.9347632767069035,0.018075875201614317,43
5,yolov8n.pt,SGD,0.001,8,512,0.001,0.9749134001989018,0.010307517315010376,0.695586625873597,0.010464321672154884,0.9442903562022545,0.00738541015990302,0.9437238501836062,0.0029803010310899864,44
19,yolov8n.pt,AdamW,0.001,8,640,0.0005,0.9747931786622152,0.006820315568979622,0.6942441559632675,0.0048885261017847315,0.9789182450902808,0.012735563284420633,0.9273595745973396,0.008436605361636387,45
31,yolov8n.pt,AdamW,0.005,8,640,0.001,0.9746334124538389,0.006269012974468596,0.6812034026412608,0.014655006403955418,0.9561466906701902,0.03798531014214652,0.9480075403265137,0.011064716009683142,46
22,yolov8n.pt,AdamW,0.001,16,512,0.001,0.974118621725086,0.012727342735546467,0.6986955195615439,0.020423085696554735,0.9819478447913417,0.01572516589740719,0.9362228597217596,0.024177018368934985,47
4,yolov8n.pt,SGD,0.001,16,640,0.0005,0.9739935601806663,0.010829773700523196,0.6966515265478379,0.0055323331405148,0.9523742744416248,0.025983418608829252,0.946912791497882,0.007837848264375686,48
16,yolov8n.pt,SGD,0.005,16,640,0.001,0.973822682175137,0.011951674471062212,0.6927971377438423,0.012706853940960347,0.9766921599169874,0.02259027015053068,0.927181652180198,0.008464467952738123,49
51,yolov8s.pt,AdamW,0.001,8,640,0.0005,0.9737519686941761,0.008636015684571112,0.6894194506368874,0.010949339658093268,0.9604797555506517,0.00933518527032865,0.9452489092605577,0.018443914623495174,50
25,yolov8n.pt,AdamW,0.005,8,512,0.0005,0.9735458787147784,0.010387829019769633,0.6776883171593221,0.007213155741151126,0.9628076883566704,0.009594500404344442,0.9276520130753929,0.01766889106067951,51
30,yolov8n.pt,AdamW,0.005,16,512,0.001,0.9734075889547184,0.007588031834516105,0.6882276477942487,0.009847179870515192,0.9655859035792286,0.009907227342275208,0.9477255718545576,0.030088275782093974,52
39,yolov8s.pt,SGD,0.001,8,640,0.001,0.9733962056564387,0.007787720456673304,0.7068910763963077,0.012690056807421685,0.9629531817354469,0.00931860104865685,0.9411723187754736,0.02379365638186206,53
32,yolov8n.pt,AdamW,0.005,16,640,0.001,0.9732120763979203,0.01268709785178757,0.6923948357103032,0.004675371237033273,0.962245821646742,0.01859579365232035,0.9326202190671177,0.012330315205137976,54
57,yolov8s.pt,AdamW,0.005,8,512,0.0005,0.9730951602053678,0.009827190588517352,0.6782369044376629,0.0063637468873180576,0.966115921363696,0.01664240985702262,0.9335315556966336,0.023821251723746543,55
60,yolov8s.pt,AdamW,0.005,16,640,0.0005,0.972814427676376,0.009871851599900469,0.68147759092976,0.008628565708284571,0.9744372892595741,0.005065481380554023,0.9311617045326552,0.029241976923640188,56
2,yolov8n.pt,SGD,0.001,16,512,0.0005,0.9727913229449644,0.007785660119201706,0.6944031865157557,0.01903552357470677,0.9340746225556961,0.012131634023061454,0.9497255404667474,0.026328742033278615,57
59,yolov8s.pt,AdamW,0.005,8,640,0.0005,0.9721498030530684,0.0043273308055320585,0.6772105272140458,0.0029827740567473326,0.9575310031232299,0.030567923665630936,0.9341374661161254,0.012961434331678743,58
56,yolov8s.pt,AdamW,0.001,16,640,0.001,0.9713594991678468,0.014548055560352888,0.6878233621333097,0.009806065918963587,0.9604087543730819,0.01832144422238796,0.9338450071353414,0.021780843505909545,59
43,yolov8s.pt,SGD,0.005,8,640,0.0005,0.9711349589220069,0.013694634600503366,0.7027754320439747,0.024107099538926785,0.9539697245457704,0.007459407344569343,0.9383300493509377,0.012162742133025848,60
64,yolov8s.pt,AdamW,0.005,16,640,0.001,0.9707591430600496,0.015003599730859843,0.6781085471855661,0.010401861688298713,0.9590495594834355,0.0264634239266377,0.9337139876468843,0.018874888956392062,61
3,yolov8n.pt,SGD,0.001,8,640,0.0005,0.969313718491779,0.009116079298980886,0.6964695816565852,0.006770970237950282,0.9515980196622529,0.014505452498862849,0.9301492055583765,0.01786270781532377,62
52,yolov8s.pt,AdamW,0.001,16,640,0.0005,0.9687923470394958,0.014991703872754909,0.685601028487112,0.006872081485800972,0.9737293544532578,0.014885086837916,0.9283031961359581,0.010654397219283773,63
63,yolov8s.pt,AdamW,0.005,8,640,0.001,0.9676130447417232,0.011704246931126755,0.67926562084679,0.008260896685898996,0.9694734546454771,0.012336565030088011,0.904945220854391,0.04081814844667343,64
