config_idx,config_label,model,optimizer,lr0,batch,imgsz,weight_decay,fold,mAP50,mAP50_95,precision,recall,duration_s
1,cfg01_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,512,0.0005,1,0.9888197749564087,0.6983591895181991,0.9673907356472359,0.9467915343206803,195.1
1,cfg01_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,512,0.0005,2,0.9607167300530093,0.6875186881648813,0.9355984820379457,0.9372698934784175,172.2
1,cfg01_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,512,0.0005,3,0.9809457822076793,0.7109918401592262,0.9538532061996726,0.934243794507448,146.0
2,cfg02_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,512,0.0005,1,0.9782502613137983,0.6741619618714274,0.9378813235943887,0.9637200877753108,116.7
2,cfg02_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,512,0.0005,2,0.963875861729702,0.6971028301385797,0.943846387216553,0.9193548387096774,127.6
2,cfg02_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,512,0.0005,3,0.9762478457913926,0.7119447675372604,0.9204961568561464,0.9661016949152542,139.7
3,cfg03_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,640,0.0005,1,0.9781331512187719,0.6922108875325891,0.9670325106789195,0.9361568854476656,167.3
3,cfg03_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,640,0.0005,2,0.9599274464352512,0.6929205767365476,0.9495146464890988,0.9100571484084029,195.0
3,cfg03_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,640,0.0005,3,0.9698805578213142,0.7042772807006191,0.9382469018187405,0.9442335828190609,137.3
4,cfg04_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,640,0.0005,1,0.9850893340718903,0.6982608696919839,0.9811911197636759,0.9468085106382979,181.6
4,cfg04_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,640,0.0005,2,0.9634509910909467,0.6904929572403827,0.9307318963020665,0.9391276039683425,151.1
4,cfg04_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,640,0.0005,3,0.9734403553791618,0.7012007527111472,0.9451998072591321,0.9548022598870056,168.6
5,cfg05_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,512,0.001,1,0.9823557817109974,0.687489611188419,0.9453865976499721,0.9468085106382979,186.0
5,cfg05_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,512,0.001,2,0.9631483837814816,0.6918678432802212,0.9510663718948089,0.9408602150537635,185.2
5,cfg05_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,512,0.001,3,0.9792360351042262,0.7074024231521507,0.9364180990619827,0.943502824858757,137.1
6,cfg06_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,512,0.001,1,0.9785756354579656,0.6847718711861494,0.9511802529346388,0.9574468085106383,135.8
6,cfg06_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,512,0.001,2,0.9697209508306475,0.6993013934505928,0.9496600987983675,0.9408602150537635,137.8
6,cfg06_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,512,0.001,3,0.9820234967626749,0.7207097450879585,0.9361448350895899,0.9491525423728814,139.9
7,cfg07_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,640,0.001,1,0.9781263124641859,0.6990225600567099,0.9291181580571287,0.9521276595744681,144.3
7,cfg07_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,640,0.001,2,0.968661024543118,0.691895756013294,0.9710748842565349,0.9193548387096774,215.1
7,cfg07_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,8,640,0.001,3,0.9879514399396605,0.7260065291442481,0.965219232236636,0.9407377348713158,212.1
8,cfg08_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,640,0.001,1,0.9829411708304321,0.6953001795565434,0.9827921423334537,0.9361702127659575,178.3
8,cfg08_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,640,0.001,2,0.9652050148953695,0.68606797108496,0.9395176299181824,0.9186655741763269,144.0
8,cfg08_yolov8n_SGD_lr0.001,yolov8n.pt,SGD,0.001,16,640,0.001,3,0.9779187175321459,0.7045403860150974,0.932686644933422,0.9548022598870056,168.3
9,cfg09_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,8,512,0.0005,1,0.98546023421339,0.6785611624650189,0.9376381837436514,0.9597165500021043,148.4
9,cfg09_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,8,512,0.0005,2,0.9692467714625849,0.6922514041891075,0.9679995643410277,0.9139784946236559,186.3
9,cfg09_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,8,512,0.0005,3,0.9794218557272457,0.7136743784503597,0.9394634783639403,0.9644611732228663,186.0
10,cfg10_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,16,512,0.0005,1,0.9859762389021766,0.6754470408901612,0.9623133593101524,0.9468085106382979,117.8
10,cfg10_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,16,512,0.0005,2,0.9697902146266931,0.695549988781431,0.9827319706904302,0.9179171715471849,137.8
10,cfg10_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,16,512,0.0005,3,0.9808826218783451,0.7094032350037575,0.9805047662953645,0.9322033898305084,137.4
11,cfg11_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,8,640,0.0005,1,0.9836344192848011,0.6800033732186155,0.9555112841141219,0.9627659574468085,176.8
11,cfg11_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,8,640,0.0005,2,0.9709169545790974,0.7013081495805815,0.9886127389636161,0.9335278496757462,215.9
11,cfg11_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,8,640,0.0005,3,0.9819173317849578,0.7185493608113552,0.9706483700435082,0.9341786634630326,219.8
12,cfg12_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,16,640,0.0005,1,0.9824305247091283,0.6812955545707623,0.9775967928575297,0.9627659574468085,182.3
12,cfg12_yolov8n_SGD_lr0.005,yolov8n.pt,SGD,0.005,16,640,0.0005,2,0.9652221359760494,0.6898965276157419,0.9664398572923495,0.9289486855276329,182.0
