epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.42329,1.40797,2.25384,1.40019,0.33929,0.33628,0.23424,0.13381,1.86501,3.73004,1.79735,0.000326531,0.000326531,0.0676735
2,12.2556,1.29418,1.29766,1.251,1,0.49459,0.83865,0.50756,1.33414,2.20418,1.2901,0.000653331,0.000653331,0.0346669
3,17.1122,1.23424,1.12368,1.1915,0.93511,0.76516,0.9059,0.59738,1.13147,1.04542,1.18865,0.000973532,0.000973532,0.0016538
4,21.877,1.21951,1.01258,1.17156,0.86793,0.75221,0.83941,0.57619,1.17306,1.38636,1.21382,0.0009703,0.0009703,0.0009703
5,26.715,1.19468,0.99878,1.16883,0.92424,0.86366,0.94813,0.63416,1.15516,0.95865,1.21471,0.0009604,0.0009604,0.0009604
6,31.4547,1.14651,0.89538,1.13555,0.92431,0.88496,0.9531,0.63845,1.14862,0.82556,1.18137,0.0009505,0.0009505,0.0009505
7,36.2575,1.16132,0.87572,1.14314,0.96593,0.86726,0.95604,0.59756,1.18283,0.85022,1.21561,0.0009406,0.0009406,0.0009406
8,41.0024,1.12364,0.84724,1.13241,0.9809,0.909,0.97257,0.62828,1.17726,0.77316,1.1925,0.0009307,0.0009307,0.0009307
9,45.8789,1.14533,0.8226,1.13452,0.97336,0.93805,0.98501,0.6535,1.12503,0.67929,1.15343,0.0009208,0.0009208,0.0009208
10,50.5893,1.10605,0.80035,1.11658,0.9456,0.93805,0.96981,0.6085,1.22708,0.78542,1.18374,0.0009109,0.0009109,0.0009109
11,55.2542,1.13833,0.79964,1.12922,0.93473,0.9469,0.98389,0.66252,1.17235,0.70714,1.20857,0.000901,0.000901,0.000901
12,59.8795,1.08658,0.73937,1.10322,0.97411,0.90265,0.9716,0.64251,1.11982,0.72584,1.15894,0.0008911,0.0008911,0.0008911
13,64.6476,1.11655,0.7489,1.12115,0.90415,0.9115,0.95465,0.62848,1.19537,0.73169,1.19146,0.0008812,0.0008812,0.0008812
14,69.4057,1.08162,0.74939,1.10268,0.90559,0.93375,0.9727,0.63103,1.13457,0.75656,1.17119,0.0008713,0.0008713,0.0008713
